time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4,episode,total_reward
1.2600000000000007,7.0488495580025345,6.607737390697574,0.0,3.96665748590574,2.087891006719964,0.0,11.958347915906305,9.094113789696404,-20.663805141693782,-14.817555992573244,-14.032279533407563,0.0,888.2552491265848,819.7914903442806,796.6230165130025,644.2766182909256,11,63
1.3200000000000007,2.7954202308646146,-3.2046872479135877,0.0,4.631112785651386,3.8875123505033127,0.0,10.903650503084904,-3.7990044492433213,-19.066096820172,-18.291398775092443,-17.14883753768501,0.0,886.150197450119,778.6704050322077,728.3370227532864,514.9830940961444,12,66
1.680000000000001,0.5461841845606652,-2.754957131682374,0.0,6.047086627907295,2.9589893181916196,0.0,4.1133913709884,-2.7954536901018106,-15.120013917263153,-20.474634525726728,-17.342411164484737,0.0,858.1392586565003,611.7141821455947,716.1697595533182,387.10211103412524,13,84
1.0800000000000005,2.79566473121292,-0.6647723759624127,0.0,0.42193499332031337,2.9907245600217234,0.0,6.771140450819176,-0.9393728702558489,-19.598353692211695,-16.854623061206706,-19.8611977144118,0.0,878.1681111570205,548.6528154831119,617.2786778582775,521.4438443968019,14,54
1.2600000000000007,6.952927606132596,-3.585725693092637,0.0,2.5776636839715295,0.0963847923210821,0.0,5.45417575470889,-0.1206492092590311,-15.836264992917913,-19.10304355525537,-24.84193056852673,0.0,893.0326441975108,439.29493476236064,679.0216899457309,417.93203433209794,15,63
1.3200000000000007,4.4303575206713885,-3.0763452005640386,0.0,3.3137553361708605,4.586074852182307,0.0,8.435715019160314,-3.954989237080008,-19.536614821884857,-17.14552305890205,-16.850846777433933,0.0,891.7977102900082,757.9243205998389,565.0213343557933,297.4886564746722,16,66
1.5000000000000009,5.849663275838895,-1.095690101992298,0.0,5.747669323112072,0.10089694269111149,0.0,3.15337144736628,0.9224522557481698,-16.284800563358907,-16.670534566310526,-25.981451027687708,0.0,887.1173615303433,392.32576799959503,556.858111064956,392.1517282021428,17,75
1.3800000000000008,-0.12526362834438637,4.431347447491105,0.0,4.609998676589129,2.0589432854025524,0.0,1.4119757021875172,6.39903752114535,-18.51781522397098,-14.856651224027534,-9.883386583795962,0.0,898.5160229827973,880.1772915848753,433.30827069194606,288.1370921817786,18,69
2.0400000000000014,0.29249294720707936,6.698165868794992,0.0,3.2753533046123007,5.172941977889987,0.0,-4.189263194442686,6.590982268519013,-19.509762711469374,-9.869159272946757,-8.904645439700962,0.0,899.2226339420725,888.521156054824,457.9159811932215,174.19211148880365,19,102
1.3800000000000008,-0.4209877478943506,-4.645269817337861,0.0,3.1882967566954576,6.2668526810101355,0.0,-2.645713398369731,-6.798838437851353,-16.221364549772918,-19.593407903382847,-22.411492419043295,0.0,898.6489257479404,605.0404702228989,574.1857052106193,206.39228065385683,20,69
1.9800000000000013,3.9381463043142912,-15.99830549341585,0.0,5.448467258163998,0.7526694820761799,0.0,1.8853797603428868,-10.943706471164106,-9.894589244332472,-19.597703157777094,-28.83391553790911,0.0,899.998561344882,2.4607515485125004,890.4991282715271,695.9977792091321,21,99
1.2000000000000006,-2.9169634649134433,1.0231682377408222,0.0,3.981843137565983,3.8552793540404338,0.0,-1.5873475782230853,3.1354208742394407,-17.301655955242158,-18.28963735928928,-11.225251896559264,0.0,899.6478572162098,880.4010119379722,542.7106161806327,180.52525230171562,22,60
